IOSH Demo Player Log
10:14:1:831 0.00 2.33 0.00
10:14:1:843 0.00 2.33 0.00
10:14:1:864 0.00 2.33 0.00
10:14:1:879 0.00 2.33 0.00
10:14:1:917 0.00 2.33 0.00
10:14:1:933 0.00 2.33 0.00
10:14:1:941 0.00 2.33 0.00
10:14:1:959 0.00 2.33 0.00
10:14:1:989 0.00 2.33 0.00
10:14:2:10 0.00 2.33 0.00
10:14:2:37 0.00 2.33 0.00
10:14:2:45 0.00 2.33 0.00
10:14:2:62 0.00 2.33 0.00
10:14:2:76 0.00 2.33 0.00
10:14:2:86 0.00 2.33 0.00
10:14:2:111 0.00 2.33 0.00
10:14:2:126 0.00 2.33 0.00
10:14:2:143 0.00 2.33 0.00
10:14:2:156 0.00 2.33 0.00
10:14:2:163 0.00 2.33 0.00
10:14:2:184 0.00 2.33 0.00
10:14:2:193 0.00 2.33 0.00
10:14:2:204 0.00 2.33 0.00
10:14:2:216 0.00 2.33 0.00
10:14:2:227 0.00 2.33 0.00
10:14:2:237 0.00 2.33 0.00
10:14:2:249 0.00 2.33 0.00
10:14:2:263 0.00 2.33 0.00
10:14:2:271 0.00 2.33 0.00
10:14:2:283 0.00 2.33 0.00
10:14:2:296 0.00 2.33 0.00
10:14:2:304 0.00 2.33 0.00
10:14:2:317 0.00 2.33 0.00
10:14:2:327 0.00 2.33 0.00
10:14:2:338 0.00 2.33 0.00
10:14:2:352 0.00 2.33 0.00
10:14:2:362 0.00 2.33 0.00
10:14:2:375 0.00 2.33 0.00
10:14:2:388 0.00 2.33 0.00
10:14:2:398 0.00 2.33 0.00
10:14:2:405 0.00 2.33 0.00
10:14:2:418 0.00 2.33 0.00
10:14:2:428 0.00 2.33 0.00
10:14:2:438 0.00 2.33 0.00
10:14:2:450 0.00 2.33 0.00
10:14:2:462 0.00 2.33 0.00
10:14:2:472 0.00 2.33 0.00
10:14:2:484 0.00 2.33 0.00
10:14:2:498 0.00 2.33 0.00
10:14:2:505 0.00 2.33 0.00
10:14:2:517 0.00 2.33 0.00
10:14:2:530 0.00 2.33 0.00
10:14:2:539 0.00 2.33 0.00
10:14:2:551 0.00 2.33 0.00
